name,chapter,email,phone,website,address,desc
"Materials Testing, Inc. dba KC Engineering Company",Non-Chapter,dcymanski@kcengr.com,707 447-4025 (Phone); 707 447-4143 (Fax),http://www.mti-kcgeotech.com,"865 Cotting Lane, Suite A, Vacaville, California, 95688","Geotechnical engineering, special inspection, and construction materials testing."
"R.E.Y. Engineers, Inc.",Sierra Chapter,,,,"905 Sutter Street, Suite 200, Folsom, California","Based in Folsom, CA, R.E.Y. Engineers focuses on land development, subdivisions, major infrastructure design, and municipal engineering projects. R.E.Y. EngineersÕ first concern is providing the highest customer satisfaction level possible through the successful completion of all projects."
Hillwig-Goodrow,Riverside/San Bernardino,hg@hillwig-goodrow.com,909 794-2673 (Phone); 909 794-2863 (Fax),http://www.hillwig-goodrow.com,"31419 Outer Highway 10, Suite I-200, Redlands, California, 92373","Hillwig-Goodrow provides Land Surveying services, by conventional and GPS methods, to private parties, public agencies, engineering firms and law offices. H-G offers boundary, topographic and design services, ALTA surveys, mapping, expert witness services, construction services, pre-construction audio/video assessment filming and aerial mapping for commercial and residential projects."
"Galloway & Company, Inc.",San Joaquin Valley,terramortensen@gallowayus.com,303 7708884 (Phone),,"575 East locust Avenue, Suite 103,, Fresno, California, 93720","Galloway provides superior development solutions for retail, commercial, mixed-use, residential, industrial, and infrastructure projects. Our unique, collaborative approach provides all key services under one roof in order to streamline the development process and facilitate communication and coordination between project team members. Galloway provides engineering, architecture, and planning service."
WSP USA,Non-Chapter,bruce.corkle@wsp.com,909 273-7400 (Phone); 909 273-7420 (Fax),http://www.wsp.com,"1250 N. Lakeview Avenue, Anaheim, California, 92807","Consulting hydrogeologists, environmental and geotechnical engineers and environmental scientists."
Bauer Associates,North Coast,bryce@bauergeotech.com,707 887-2505 (Phone); 707 887-9756 (Fax),http://www.bauergeotech.com,"PO Box 460, Forestville, California, 95436","Preparation of geotechnical investigations and consultations, along with construction observation and testing for commercial, municipal and residential developments."
Hopper Engineering Associates,Non-Chapter,jpieper@hopperengineering.com,310 373-5573 (Phone); 310 791-7308 (Fax),http://www.hopperengineering.com,"1430 Arroyo Way, Suite A, Walnut Creek, California, 94596",
"Myers, Houghton & Partners, Inc.",Los Angeles County,kodell@mhpse.com,562 985-3200 (Phone); 562 985-1011 (Fax),http://www.mhpse.com,"3900 Cover Street, Long Beach, California, 90808","Complete engineering services for the design and retrofit of industrial facilities, hospitals, commercial and institutional structures. Structural engineering services for the design and seismic retrofit of industrial, commercial, educational, and institutional buildings. Seismic risk and ground motion studies to determine the vulnerability of existing and new structures to earthquake damage.  Blast and progressive collapse analyses for critical and visible structures of high importance and forensic engineering."
"ADVANTEC Consulting Engineer, Inc.",Los Angeles County Chapter,edmiller@advantec-usa.com,909 860-6222 (Phone),,"21700 Copley Drive, Suite 350, Diamond Bar, California, 91765","ADVANTEC is a professional consulting firm specializing in planning, engineering and technology services. Our firm’s specialized areas of practice includes: Traffic Engineering, Transportation Planning, Civil Engineering, Transportation Engineering, Traffic Signal Timing, Coordination and Operations, Intelligent Transportation System, Municipal Engineering Active Transportation."
Converse Consultants,Non-Chapter,converse@converseconsultants.com,714 444-9660 (Phone); 714 444-9640 (Fax),http://www.converseconsultants.com,"3176 Pullman Street, Suite 108, Costa Mesa, California, 92626","Converse Consultants provides virtually every facet of geotechnical, geologic, and environmental engineering during the design phase of projects ranging from residential developments to roadways; wastewater treatment plants and reservoir dams to convention centers and schools. During construction our expertise includes geotechnical and materials testing and inspection."
Sharrah Dunlap Sawyer Inc,Northern Association,mhunter@sdsengineering.com,530 221-1792 (Phone),http://sdsengineering.com,"320 Hartnell Avenue, Redding, California, 96002","Primarily land development including land surveying, entitlements, all civil engineering aspects and landscape architecture.  Residential, industrial, commercial, retail, institutional, governmental, and engergy."
AECOM,Los Angeles County,jay.francisco@aecom.com,562 308-2300 (Phone),http://www.aecom.com,"3995 Via Ora Avenue, Long Beach, California, 98810","AECOM, a Fortune 500 company, is a global provider of professional technical and management support services to a broad range of markets, including water/wastewater, transportation, facilities, environmental and energy. With offices in over 100 countries, AECOM (www.aecom.com) provides a blend of global reach, local knowledge, innovation, and technical excellence in delivering solutions that enhance and sustain the world's built, natural, and social environments."
Geo-Logic Associates,Santa Clara,info@geo-logic.com,408 778-2818 (Phone); 408 779-6879 (Fax),http://www.geo-logic.com,"6300 San Ignacio Avenue, Suite A, San Jose, California, 95119","Comprehensive geotechnical engineering, engineering geology, and soil testing services for public and private clients, including commercial, residential, and public works projects."
WA Lopez Structural Engineering,East Bay,wlopez@walopezse.com,510 610-6008 (Phone),,,
NV5,,yubacity_info@nv5.com,530 794-1003 (Phone); 530 794-1003 (Fax),http://www.nv5.com,"1282 Stabler Lane, Suite 630-300, Yuba City, California, 95993","Civil engineering consultants throughout California for public and private entities. Experienced in transportation, land development, public works, program and construction management, water and wastewater facilities, education and correction facilities."
BSK Associates,Sierra Chapter,tmartin@bskassociates.com,916 853-9293 (Phone); 916 853-9297 (Fax),http://www.bskassociates.com,"3140 Gold Camp Drive, Suite 1600, Rancho Cordova, California, 95670","Soil and foundation engineering, engineering geology and geohydrology. Soils investigation, comprehensive laboratory testing of soils and construction materials.  Groundwater studies, studies of waste management.  Laboratory facilities for chemical testing of water and soils."
GHD,Non-Chapter,concord@ghd.com,925 849-1000 (Phone),http://www.ghd.com,"2300 Clayton Road, Suite 920, Concord, California, 94520","Multi-discipline consulting engineering (civil, structural, electrical, mechanical, environmental) and associated services (land surveying, planning, environmental studies, and toxic remediation)."
EEC Environmental,Orange County,mschaffer@eecenvironmental.com,714 667-2300 (Phone); 714 667-2310 (Fax),http://www.eecenvironmental.com,"1 City Blvd. West, Suite 1800, Orange, California, 92568","EEC Environmental (EEC) has been providing expert environmental consulting services to private and public clients since 1995. Our reputation as a leader in the fields:  storm water, wastewater, soil, soil vapor, and groundwater assessment, and remediation has also made EEC the choice of environmental engineering consulting firms among Fortune 100 companies."
